ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes
NHSBG0253630,,AUTGERTSJE,,,F,,,,,,,,,1954,11,3,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1253949,,DIUWKE FEN'T HOUNEHIEM,,,F,,NHSBG0253630,AUTGERTSJE,,,,,,1960,8,8,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1253948,,DOEKELE FEN'T HOUNEHIEM,,,F,,NHSBG0253630,AUTGERTSJE,,,,,,1960,8,8,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1285159,,FEIKJE FEN'T HOUNEHIEM,,,F,,NHSBG1253950,DURKJE FEN'T HOUNEHIEM,,,,,,1962,5,6,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1272413,,EELKE FEN'T HOUNEHIEM,,,F,,NHSBG0253630,AUTGERTSJE,,,,,,1961,10,4,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2371736,,BEITSKE FEN'T BÛTENFJILD,,,F,,NHSBG1328853,AKKE FEN'T BÛTENFJILD,,,,,,1965,8,8,,,,,,,,,,,,,,,,,,,,,,,,
NHSB488825,,AUKJE,,,F,,NHSBG2371734,BIJKE FEN'T BÛTENFJILD,,,,,,1969,11,23,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2413239,,DETSJE FEN'T BÛTENFJILD,,,F,,NHSBG1272413,EELKE FEN'T HOUNEHIEM,,,,,,1967,5,16,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG2573784,,RINKE,,,F,,NHSBG2413240,DIEUWKE FEN'T BÛTENFJILD,,,,,,1971,9,29,,,,,,,,,,,,,,,,,,,,,,,,
NHSBG1272411,,EKE FEN'T HOUNEHIEM,,,F,,NHSBG0253630,AUTGERTSJE,,,,,,1961,10,4,,,,,,,,,,,,,,,,,,,,,,,,
NHSB609125,,ALEID HINKJE FAN MID FRYSLÂN,,,F,,NHSBG2386717,AUKJE FAN BERINCHEM,,,,,,1972,7,7,,,,,,,,,,,,,,,,,,,,,,,,
